%kk,PairID,WaveType,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Field,id,StudyID,nHfit,Cdval2,Difval2,R2val2,Bval2,slo,flatbed,ReMean, ReSd, KCMean, KCSd
37,NaN,1,12.26433,0.09,0.01,11.8,0.539475723,35,11.281,0.558702054,128,7.9044375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,814,43,,0.423693674,9.91E-14,,0.4,37.90837575,0,2471.090347,0,354.5833295,0
38,NaN,1,10.90444588,0.09,0.01,11.8,0.506455643,35,12.022,0.63749105,128,8.64342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,815,43,,-2.574390238,999,,0.4,37.88573898,0,2617.069051,0,333.8909477,0
39,NaN,1,10.18450118,0.09,0.01,11.8,0.51577237,35,12.204,0.499047924,128,8.821695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,816,43,,1.319559472,2.02E-13,,0.4,37.84401466,0,1990.022949,0,237.1284755,0
40,NaN,1,11.89753081,0.09,0.01,11.8,0.497850457,35,11.997,0.60347728,128,8.6195375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,817,43,,-2.022701081,999,,0.4,37.89827422,0,2525.029532,0,351.4869149,0
41,NaN,1,12.66867036,0.09,0.01,11.8,0.49328564,35,12.26,0.468142729,128,8.8849825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,818,43,,1.949061662,2.27E-13,,0.4,37.92572927,0,1944.947421,0,288.2868036,0
42,NaN,1,13.24357333,0.09,0.01,11.8,0.637142169,35,12.777,0.772845124,128,9.3981375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,819,43,,-1.729928472,999,,0.4,37.88257143,0,3130.372278,0,485.0505834,0
43,NaN,1,12.10635743,0.09,0.01,11.8,0.613021794,35,12.495,0.443320377,128,9.115167299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,820,43,,6.298004833,1.91E-14,,0.4,37.87169701,0,1800.172966,0,254.9843871,0
44,NaN,1,11.08086432,0.09,0.01,11.8,0.467914677,35,11.502,0.46785438,128,8.126455692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,821,43,,0.972467299,2.18E-13,,0.4,37.91981035,0,2000.128111,0,259.3088342,0
45,NaN,1,13.54899305,0.09,0.01,11.8,0.481375956,35,11.1,0.50977662,128,7.7269625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,822,43,,0.213334582,7.91E-14,,0.4,37.94799198,0,2315.260952,0,367.0226182,0
46,NaN,1,10.90414331,0.09,0.01,11.8,0.443411818,35,11.668,0.418889309,128,8.2946879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,823,43,,2.072850214,5.62E-14,,0.4,37.94490287,0,1763.184589,0,224.9444041,0
47,NaN,1,11.71360154,0.09,0.01,11.8,0.554099147,35,12.183,0.489095363,128,8.80716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,824,43,,2.899018804,3.38E-14,,0.4,37.91648893,0,2014.643006,0,276.1050873,0
48,NaN,1,11.62561595,0.09,0.01,11.8,0.488956667,35,12.12,0.587032911,128,8.7445025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,825,43,,-1.980018168,999,,0.4,37.92033619,0,2424.853557,0,329.8278694,0
49,NaN,1,11.47441573,0.09,0.01,11.8,0.585207377,35,12.131,0.629655723,128,8.762857487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,826,43,,-0.255277194,999,,0.4,38.00314254,0,2590.821103,0,347.8194534,0
50,NaN,1,8.744772913,0.09,0.01,11.8,0.518686369,35,12.552,0.525852616,128,9.1808425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,827,43,,0.304340696,1.39E-13,,0.4,37.96915451,0,1944.405649,0,198.9396145,0
51,NaN,1,8.939932878,0.09,0.01,11.8,0.674984664,35,12.667,0.567839436,128,9.291190075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,828,43,,2.900525922,3.20E-13,,0.4,37.91682673,0,2100.13067,0,219.6678185,0
52,NaN,1,10.85922941,0.09,0.01,11.8,0.566559517,35,11.894,0.554321535,128,8.516929977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,829,43,,1.092600935,1.30E-14,,0.4,37.90267869,0,2294.089414,0,291.4709058,0
53,NaN,1,13.49140219,0.09,0.01,11.8,0.632582599,35,11.107,0.622989314,128,7.735858044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,830,43,,1.027778605,3.70E-13,,0.4,37.96932958,0,2826.392018,0,446.1443002,0
54,NaN,1,13.81740951,0.09,0.01,11.8,0.916916933,35,11.344,1.017377606,128,7.986065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,831,43,,-0.276785628,999,,0.4,38.11866519,0,4546.771587,0,735.0478782,0
55,NaN,1,11.72893876,0.09,0.01,11.8,0.761766569,35,12.07,0.717633355,128,8.7234425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,832,43,,1.294551047,5.92E-13,,0.4,38.24825959,0,2973.611632,0,408.0645122,0
